철도운영기관,노선명,역명,출구번호,출구별주요시설명
서울교통공사,1호선,종로3가,12,장사기계공구상가
서울교통공사,1호선,종로3가,13,힐스테이트세운센트럴1단지
서울교통공사,1호선,종로3가,14,한국금거래소
서울교통공사,1호선,종로3가,15,YBM유학센터
서울교통공사,1호선,종로3가,15,SK텔레콤(종로센터)
서울교통공사,1호선,종로3가,15,파고다어학원
서울교통공사,1호선,종각,1,제일은행(본점)
서울교통공사,1호선,종각,1,교보문고(본점)
서울교통공사,1호선,종각,1,주한호주대사관
서울교통공사,1호선,종각,1,교보생명본사
서울교통공사,1호선,종각,1,KT광화문빌딩
서울교통공사,1호선,종각,1,국민은행(세종로점)
서울교통공사,1호선,종각,1,대한민국역사박물관
서울교통공사,1호선,종각,1,GS건설(본사)
서울교통공사,1호선,종각,1,뉴욕타임즈(서울지국)
서울교통공사,1호선,동대문,3,종로구보건소(동부진료소)
서울교통공사,1호선,동대문,3,창신골목시장
서울교통공사,1호선,동대문,3,우리은행(창신동지점)
서울교통공사,1호선,동대문,3,네팔음식거리
서울교통공사,1호선,동대문,4,창신1동우편취급국
서울교통공사,1호선,동대문,4,창신동인장거리
서울교통공사,1호선,동대문,4,동평화시장
서울교통공사,1호선,동대문,4,동대문신발상가
서울교통공사,1호선,동대문,5,동문시장
서울교통공사,1호선,동대문,5,동대문신발도매상가
서울교통공사,1호선,동대문,6,신평화상가
서울교통공사,1호선,동대문,6,남평화상가
서울교통공사,1호선,동대문,6,제일평화시장
서울교통공사,1호선,종로5가,1,㈜대상본사
서울교통공사,1호선,종로5가,1,종가집본사
서울교통공사,1호선,종로5가,1,한국토지주택공사(주거복지지사)
서울교통공사,1호선,종로5가,2,홍익대(대학로캠퍼스)
서울교통공사,1호선,종로5가,2,신한은행(연지동점)
서울교통공사,1호선,종로5가,2,서울시광역치매센터
서울교통공사,1호선,종로5가,2,현대아산(본사)
서울교통공사,1호선,종로5가,2,서울스포츠클럽
서울교통공사,1호선,종로5가,3,서울대학교병원(융합의학기술원)
서울교통공사,1호선,종로5가,3,서울지방국세청(효제별관)
서울교통공사,1호선,종로5가,4,하나은행(종로5가점)
서울교통공사,1호선,종로5가,5,종로5가 먹거리골목
서울교통공사,1호선,종로5가,6,훈련원공원
서울교통공사,1호선,종로5가,6,국립중앙의료원
서울교통공사,1호선,종로5가,6,중구구민회관
서울교통공사,1호선,종로5가,7,국민은행(청계점)
서울교통공사,1호선,종로5가,7,광장시장전골목
서울교통공사,1호선,종로5가,7,기업은행(청계5가점)
서울교통공사,1호선,종로5가,8,우리은행(종로4가점)
서울교통공사,1호선,신설동,5,한화생명(신설동사옥)
서울교통공사,1호선,신설동,5,수협은행(신설동역점)
서울교통공사,1호선,신설동,5,기업은행(신설동점)
서울교통공사,1호선,신설동,6,수협은행(신설동역점)
서울교통공사,1호선,신설동,6,신용보증기금(동대문지점)
서울교통공사,1호선,신설동,6,마리아병원
서울교통공사,1호선,신설동,11,숭인그린공원
서울교통공사,1호선,신설동,11,수도어학학원
서울교통공사,1호선,신설동,11,이주여성인권센터
서울교통공사,1호선,신설동,12,숭인119안전센터
서울교통공사,1호선,신설동,12,종로숭인새마을금고
서울교통공사,1호선,동묘앞,1,서울게스트하우스
서울교통공사,1호선,동묘앞,2,서울직업전문학교
서울교통공사,1호선,동묘앞,3,동묘시장
서울교통공사,1호선,동묘앞,3,서울다솜관광고등학교
서울교통공사,1호선,동묘앞,3,동묘파출소
서울교통공사,1호선,동묘앞,3,동관왕묘
서울교통공사,1호선,동묘앞,3,진형중고등학교
서울교통공사,1호선,동묘앞,3,농협은행(신설동점)
서울교통공사,1호선,동묘앞,3,서울숭인병원
서울교통공사,1호선,동묘앞,3,대한적십자사(중앙봉사관)
서울교통공사,1호선,동묘앞,10,서울게스트하우스
서울교통공사,1호선,동대문,1,덕산파출소
서울교통공사,1호선,동대문,1,종로중앙새마을금고
서울교통공사,1호선,동대문,1,창신2동 행정복지센터
서울교통공사,1호선,제기동,1,선농단역사공원
서울교통공사,1호선,제기동,1,서울발달장애인훈련센터
서울교통공사,1호선,제기동,2,경동유니온빌딩
서울교통공사,1호선,제기동,2,국민은행(제기동점)
서울교통공사,1호선,제기동,2,서울제기동우체국
서울교통공사,1호선,청량리(서울시립대입구),1,청량리청과물시장
서울교통공사,1호선,청량리(서울시립대입구),1,청량리농수산물시장
서울교통공사,1호선,청량리(서울시립대입구),1,제기동우체국
서울교통공사,1호선,청량리(서울시립대입구),2,청량리파출소
서울교통공사,1호선,청량리(서울시립대입구),2,청량리성당
서울교통공사,1호선,청량리(서울시립대입구),3,정암미용고등학교
서울교통공사,1호선,청량리(서울시립대입구),3,현대아파트
서울교통공사,1호선,청량리(서울시립대입구),3,서울성심병원
서울교통공사,1호선,청량리(서울시립대입구),4,동대문도서관
서울교통공사,1호선,청량리(서울시립대입구),5,청량리역롯데캐슬SK아파트
서울교통공사,1호선,청량리(서울시립대입구),5,L65호텔웨딩컨벤션
서울교통공사,1호선,청량리(서울시립대입구),5,전농119안전센터
서울교통공사,1호선,청량리(서울시립대입구),6,청량리수산시장
서울교통공사,1호선,청량리(서울시립대입구),6,농협은행(청량리점)
서울교통공사,1호선,종로5가,8,광장시장전골목
서울교통공사,1호선,종로3가,1,국민은행(종로3가점)
서울교통공사,1호선,종로3가,1,파고다고시원
서울교통공사,1호선,종로3가,2,피카디리국제미술관
서울교통공사,1호선,종로3가,2,CGV(피카디리)
서울교통공사,1호선,종로3가,2,춘원당한의학박물관
서울교통공사,1호선,종로3가,10,단성사(영화역사관)
서울교통공사,1호선,종로3가,10,신한은행(종로중앙점)
서울교통공사,1호선,종로3가,10,종로119안전센터
서울교통공사,1호선,종로3가,10,세화/원/한미/청룡귀금속도매상가
서울교통공사,1호선,종로3가,10,종로귀금속거리
서울교통공사,1호선,종로3가,11,종로3가귀금속도매상가
서울교통공사,1호선,종로3가,11,조흥/우리귀금속도매상가
서울교통공사,1호선,종로3가,11,한국교직원공제회(서울지부)
서울교통공사,1호선,종로3가,11,종로귀금속거리
서울교통공사,1호선,종로3가,11,종묘귀금속백화점
서울교통공사,1호선,종로3가,11,종묘공영주차장
서울교통공사,1호선,종로3가,12,종로3.4가새마을금고
서울교통공사,1호선,종로3가,12,제일은행(장사동점)
서울교통공사,1호선,종로3가,12,청계상가
서울교통공사,1호선,종로5가,1,종로5가우체국
서울교통공사,1호선,종로5가,1,IBK기업은행
서울교통공사,1호선,종로5가,1,KB국민은행
서울교통공사,1호선,종로5가,1,두산아트센터(연강홀)
서울교통공사,1호선,종로5가,1,보령빌딩
서울교통공사,1호선,종로5가,1,보령약국
서울교통공사,1호선,종로5가,1,종오약국
서울교통공사,1호선,종로5가,1,효성쥬얼리시티아파트
서울교통공사,1호선,종로5가,2,서울보증보험/삼양사(본사)
서울교통공사,1호선,종로5가,2,여전도회관
서울교통공사,1호선,종로5가,2,연지동방향
서울교통공사,1호선,종로5가,2,한국교회100주년기념관
서울교통공사,1호선,종로5가,2,한국기독교연합회환
서울교통공사,1호선,종로5가,3,효제초등학교
서울교통공사,1호선,종로5가,3,대학로방면
서울교통공사,1호선,종로5가,3,중부교육청
서울교통공사,1호선,종로5가,4,종로5 6가동 행정복지센터
서울교통공사,1호선,종로5가,4,백제약국
서울교통공사,1호선,종로5가,5,동대문시장
서울교통공사,1호선,종로5가,5,종로신진시장
서울교통공사,1호선,종로5가,6,청계천 5가
서울교통공사,1호선,종로5가,6,청계천-마전교
서울교통공사,1호선,종로5가,7,방산시장
서울교통공사,1호선,종로5가,7,종로5가파출소
서울교통공사,1호선,종로5가,7,광장시장
서울교통공사,1호선,종로5가,7,청계천(마전교)
서울교통공사,1호선,종로5가,8,광장시장
서울교통공사,1호선,종로5가,8,농협은행(동대문점)
서울교통공사,1호선,청량리(서울시립대입구),1,경동시장
서울교통공사,1호선,청량리(서울시립대입구),1,동서시장
서울교통공사,1호선,청량리(서울시립대입구),2,청량리우체국
서울교통공사,1호선,청량리(서울시립대입구),2,동대문경찰서
서울교통공사,1호선,청량리(서울시립대입구),3,동대문세무서
서울교통공사,1호선,청량리(서울시립대입구),3,미주아파트
서울교통공사,1호선,청량리(서울시립대입구),4,서울시립대학교
서울교통공사,1호선,청량리(서울시립대입구),6,청량리역한양수자인A
서울교통공사,1호선,제기동,1,용두롯데캐슬리치A
서울교통공사,1호선,제기동,2,서울나은병원
서울교통공사,1호선,제기동,2,미도파아울렛
서울교통공사,1호선,제기동,2,불로장생타워
서울교통공사,1호선,제기동,2,서울탑병원
서울교통공사,1호선,제기동,3,용신동주민센터
서울교통공사,1호선,제기동,3,래미안허브리츠아파트
서울교통공사,1호선,제기동,3,홈플러스(동대문)
서울교통공사,1호선,제기동,3,서울명병원
서울교통공사,1호선,제기동,3,롯데캐슬피렌체A
서울교통공사,1호선,제기동,4,장애인자활사업장
서울교통공사,1호선,제기동,4,레미안허브리츠A
서울교통공사,1호선,제기동,4,롯데캐슬피렌체A
서울교통공사,1호선,제기동,5,홈스타아파트
서울교통공사,1호선,제기동,5,랜드마크오피스텔
서울교통공사,1호선,제기동,6,용두119안전센터
서울교통공사,1호선,제기동,6,한국건강관리협회(서울동부지부)
서울교통공사,1호선,제기동,6,농협은행(용두동지점)
서울교통공사,1호선,제기동,6,용두동쭈꾸미골목
서울교통공사,1호선,신설동,1,보문효사랑요양병원
서울교통공사,1호선,신설동,1,동대문게스트하우스
서울교통공사,1호선,신설동,2,대광고등학교
서울교통공사,1호선,신설동,2,더드림요양병원
서울교통공사,1호선,신설동,3,한화손해보험(종로지점)
서울교통공사,1호선,신설동,3,강북세우관
서울교통공사,1호선,신설동,3,동네극장
서울교통공사,1호선,신설동,4,동대문여성인력개발센터
서울교통공사,1호선,신설동,4,하나은행(신설동점)
서울교통공사,1호선,신설동,5,기업은행신설동지점
